os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
231.803,4.31401,21.6792,0,85,56,50,3121,1358,4.90756,248,10.6951,0,0,21848569597
243.974,4.09879,21.6792,0,85,56,50,3121,1358,4.90756,248,10.6951,0,0,21948641525
223.424,4.4758,21.6792,0,85,56,50,3121,1358,4.90756,248,10.6951,0,0,22048712801
256.117,3.90446,21.6792,0,85,56,50,3121,1358,4.90756,248,10.6951,0,0,22148784138
245.727,4.06955,21.6792,0,85,56,50,3121,1358,4.90756,248,10.6951,0,0,22248856416
240.544,4.15724,21.3654,0,85,56,50,3126,1358,4.90756,252,10.6999,0,0,22348925869
206.538,4.84172,21.3654,0,85,56,50,3126,1358,4.90756,252,10.6999,0,0,22448994540
283.145,3.53175,21.3654,0,85,56,50,3126,1358,4.90756,252,10.6999,0,0,22549066448
233.874,4.27581,21.3654,0,85,56,50,3126,1358,4.90756,252,10.6999,0,0,22649166749
235.395,4.24818,21.3654,0,85,56,50,3126,1358,4.90756,252,10.6999,0,0,22749284803
223.257,4.47914,21.0393,0,86,57,50,3117,1358,4.90756,249,10.6987,0,0,22849358574
263.057,3.80145,21.0393,0,86,57,50,3117,1358,4.90756,249,10.6987,0,0,22949436182
246.259,4.06076,21.0393,0,86,57,50,3117,1358,4.90756,249,10.6987,0,0,23049546031
243.214,4.1116,21.0393,0,86,57,50,3117,1358,4.90756,249,10.6987,0,0,23149619431
215.781,4.63433,21.0393,0,86,57,50,3117,1358,4.90756,249,10.6987,0,0,23249688584
274.381,3.64457,21.4018,0,85,57,50,3103,1358,4.90756,251,10.6991,0,0,23349759109
243.39,4.10863,21.4018,0,85,57,50,3103,1358,4.90756,251,10.6991,0,0,23449830626
243.459,4.10747,21.4018,0,85,57,50,3103,1358,4.90756,251,10.6991,0,0,23549902924
